name,default,description,type
flag_river_donk_bet_opportunity,False,Whether the player had the opportunity to make a donk bet on the river,bool
flag_river_donk_bet,False,Whether the player made a donk bet on the river,bool
flag_river_face_donk_bet,False,Whether the player faced a donk bet on the river,bool
flag_river_first_raise,False,Whether the player made the first raise on the river,bool
flag_river_fold,False,Whether the player folded on the river,bool
flag_river_check,False,Whether the player checked on the river,bool
flag_river_check_raise,False,Whether the player check-raised on the river,bool
flag_river_face_raise,False,Whether the player faced a raise on the river,bool
flag_river_3bet_opportunity,False,Whether the player had the opportunity to 3bet on the river,bool
flag_river_3bet,False,Whether the player 3bet on the river,bool
flag_river_face_3bet,False,Whether the player faced a 3bet on the river,bool
flag_river_4bet_opportunity,False,Whether the player had the opportunity to 4+bet on the river,bool
flag_river_4bet,False,Whether the player 4+bet on the river,bool
flag_river_face_4bet,False,Whether the player faced a 4+bet on the river,bool
count_river_player_raises,0,The number of raises the player made on the river,int
count_river_player_calls,0,The number of calls the player made on the river,int
river_actions_sequence,,The sequence of actions the player made on the river,ActionsSequence
amount_river_effective_stack,0,The effective stack the player had on the river,float
amount_to_call_facing_river_bet,0,The amount the player had to call facing the river bet,float
amount_to_call_facing_river_2bet,0,The amount the player had to call facing the river 2bet,float
amount_to_call_facing_river_3bet,0,The amount the player had to call facing the river 3bet,float
amount_to_call_facing_river_4bet,0,The amount the player had to call facing the river 4bet,float
amount_bet_made_river,0,The amount the player used to bet on the river,float
amount_first_raise_made_river,0,The amount the player used on his first raise on the river,float
amount_second_raise_made_river,0,The amount the player used on his second raise on the river,float
ratio_to_call_facing_river_bet,0,The ratio of the pot the player had to call facing the river bet,float
ratio_to_call_facing_river_2bet,0,The ratio of the pot the player had to call facing the river 2bet,float
ratio_to_call_facing_river_3bet,0,The ratio of the pot the player had to call facing the river 3bet,float
ratio_to_call_facing_river_4bet,0,The ratio of the pot the player had to call facing the river 4bet,float
ratio_bet_made_river,0,The ratio of the pot the player used to bet on the river,float
ratio_first_raise_made_river,0,The ratio of the pot the player used on his first raise on the river,float
ratio_second_raise_made_river,0,The ratio of the pot the player used on his second raise on the river,float
total_river_bet_amount,0,The total amount the player bet on the river,float
move_facing_river_bet,,The move the player did when facing the river bet,ActionMove
move_facing_river_2bet,,The move the player did when facing the river 2bet,ActionMove
move_facing_river_3bet,,The move the player did when facing the river 3bet,ActionMove
move_facing_river_4bet,,The move the player did when facing the river 4bet,ActionMove
move_facing_river_cbet,,The move the player did when facing the river cbet,ActionMove
move_facing_river_donk_bet,,The move the player did when facing the river donk bet,ActionMove
flag_went_to_showdown,False,Whether the player went to showdown,bool
flag_is_hero,False,Whether the player is the hero,bool
flag_won_hand,False,Whether the player won the hand,bool
starting_stack,0,The starting stack of the player at the beginning of the hand,float
amount_won,0,The amount the player won in the hand,float
amount_expected_won,0,The amount the player is expected to win in the hand when all combos are revealed (EV),float
total_bet_amount,0,The total amount the player bet in the hand,float
facing_covering_bet_move,,The move the player did when facing a covering bet,ActionMove
facing_allin_move,,The move the player did when facing an all-in,ActionMove
fold_street,,The street the player folded,Street
all_in_street,,The street the player went all-in,Street
face_covering_bet_street,,The street the player faced a covering bet,Street
face_allin_street,,The street the player faced an all-in,Street
combo,,The combo the player had,Combo
